train_domains,test_domains,fraction,method,avg_acc,worst_acc,train_loss,val_loss
"['cartoon', 'photo', 'sketch']",['art_painting'],0.1,ERM,0.3212890625,0.3212890625,5.729404067993164,1.931422397494316
"['cartoon', 'photo', 'sketch']",['art_painting'],0.1,ERM+NC,0.41455078125,0.41455078125,5.735995197296143,1.9212329015135765
"['cartoon', 'photo', 'sketch']",['art_painting'],0.1,CORAL,0.57568359375,0.57568359375,5.722068214416504,1.915734875947237
"['cartoon', 'photo', 'sketch']",['art_painting'],0.1,CORAL+NC,0.40185546875,0.40185546875,5.752580833435059,1.9217674564570189
"['cartoon', 'photo', 'sketch']",['art_painting'],0.2,ERM,0.60400390625,0.60400390625,5.612179803848266,1.8930617962032557
"['cartoon', 'photo', 'sketch']",['art_painting'],0.2,ERM+NC,0.67236328125,0.67236328125,5.650994300842285,1.8966035023331642
"['cartoon', 'photo', 'sketch']",['art_painting'],0.2,CORAL,0.6357421875,0.6357421875,5.629432344436646,1.9061347786337137
"['cartoon', 'photo', 'sketch']",['art_painting'],0.2,CORAL+NC,0.69677734375,0.69677734375,5.6400511264801025,1.8926787972450256
"['cartoon', 'photo', 'sketch']",['art_painting'],0.5,ERM,0.8427734375,0.8427734375,5.293393666927631,1.8199579194188118
"['cartoon', 'photo', 'sketch']",['art_painting'],0.5,ERM+NC,0.84326171875,0.84326171875,5.324259189458994,1.8182783238589764
"['cartoon', 'photo', 'sketch']",['art_painting'],0.5,CORAL,0.77001953125,0.77001953125,5.299442694737361,1.8218113109469414
"['cartoon', 'photo', 'sketch']",['art_painting'],0.5,CORAL+NC,0.65087890625,0.65087890625,5.314173991863544,1.8206452000886202
"['cartoon', 'photo', 'sketch']",['art_painting'],0.8,ERM,0.8447265625,0.8447265625,5.017171092149688,1.749545592814684
"['cartoon', 'photo', 'sketch']",['art_painting'],0.8,ERM+NC,0.89990234375,0.89990234375,5.034594489306938,1.7487792279571295
"['cartoon', 'photo', 'sketch']",['art_painting'],0.8,CORAL,0.880859375,0.880859375,5.000092611080262,1.7436766289174557
"['cartoon', 'photo', 'sketch']",['art_painting'],0.8,CORAL+NC,0.8916015625,0.8916015625,5.029258576835074,1.748940197750926
"['art_painting', 'photo', 'sketch']",['cartoon'],0.1,ERM,0.5994027303754266,0.5994027303754266,5.723431015014649,1.9068981811861943
"['art_painting', 'photo', 'sketch']",['cartoon'],0.1,ERM+NC,0.6335324232081911,0.6335324232081911,5.739208984375,1.915511979584808
"['art_painting', 'photo', 'sketch']",['cartoon'],0.1,CORAL,0.587457337883959,0.587457337883959,5.729312896728516,1.9151362192915569
"['art_painting', 'photo', 'sketch']",['cartoon'],0.1,CORAL+NC,0.3395904436860068,0.3395904436860068,5.746911334991455,1.9114542511949768
"['art_painting', 'photo', 'sketch']",['cartoon'],0.2,ERM,0.6540102389078498,0.6540102389078498,5.621824455261231,1.8799040309398247
"['art_painting', 'photo', 'sketch']",['cartoon'],0.2,ERM+NC,0.6877133105802048,0.6877133105802048,5.651441955566407,1.8858229048016129
"['art_painting', 'photo', 'sketch']",['cartoon'],0.2,CORAL,0.7798634812286689,0.7798634812286689,5.608671092987061,1.883792512652817
"['art_painting', 'photo', 'sketch']",['cartoon'],0.2,CORAL+NC,0.7192832764505119,0.7192832764505119,5.668014907836914,1.8894235184575103
"['art_painting', 'photo', 'sketch']",['cartoon'],0.5,ERM,0.8050341296928327,0.8050341296928327,5.324485283631545,1.7944080508202822
"['art_painting', 'photo', 'sketch']",['cartoon'],0.5,ERM+NC,0.8442832764505119,0.8442832764505119,5.339674491148728,1.7982427011984607
"['art_painting', 'photo', 'sketch']",['cartoon'],0.5,CORAL,0.8310580204778157,0.8310580204778157,5.3230510124793415,1.7979673423864735
"['art_painting', 'photo', 'sketch']",['cartoon'],0.5,CORAL+NC,0.889505119453925,0.889505119453925,5.346332568388719,1.800912230494893
"['art_painting', 'photo', 'sketch']",['cartoon'],0.8,ERM,0.8570819112627986,0.8570819112627986,5.049169412473353,1.7160450956520368
"['art_painting', 'photo', 'sketch']",['cartoon'],0.8,ERM+NC,0.8848122866894198,0.8848122866894198,5.0610167224232745,1.7166134119033813
"['art_painting', 'photo', 'sketch']",['cartoon'],0.8,CORAL,0.8451365187713311,0.8451365187713311,5.053421729948463,1.717551679334543
"['art_painting', 'photo', 'sketch']",['cartoon'],0.8,CORAL+NC,0.8523890784982935,0.8523890784982935,5.0933705771841655,1.7238810249562964
