train_domains,test_domains,fraction,method,avg_acc,worst_acc,train_loss,val_loss
"['LabelMe', 'SUN09', 'VOC2007']",['Caltech101'],0.1,ERM,0.7837455830388692,0.7837455830388692,4.674237906932831,1.5708796352042746
"['LabelMe', 'SUN09', 'VOC2007']",['Caltech101'],0.1,ERM+NC,0.6487632508833923,0.6487632508833923,4.6917948722839355,1.5610402404630142
"['LabelMe', 'SUN09', 'VOC2007']",['Caltech101'],0.1,CORAL,0.3992932862190813,0.3992932862190813,4.6650190353393555,1.588528832192977
"['LabelMe', 'SUN09', 'VOC2007']",['Caltech101'],0.1,CORAL+NC,0.334982332155477,0.334982332155477,4.656847715377808,1.5792870645388277
"['LabelMe', 'SUN09', 'VOC2007']",['Caltech101'],0.2,ERM,0.6636042402826855,0.6636042402826855,4.479429543018341,1.5216801703186844
"['LabelMe', 'SUN09', 'VOC2007']",['Caltech101'],0.2,ERM+NC,0.4925795053003534,0.4925795053003534,4.506036251783371,1.5376634346722715
"['LabelMe', 'SUN09', 'VOC2007']",['Caltech101'],0.2,CORAL,0.6007067137809188,0.6007067137809188,4.533234655857086,1.5432037974414894
"['LabelMe', 'SUN09', 'VOC2007']",['Caltech101'],0.2,CORAL+NC,0.7180212014134275,0.7180212014134275,4.4839063584804535,1.520526591712089
"['LabelMe', 'SUN09', 'VOC2007']",['Caltech101'],0.5,ERM,0.7568904593639576,0.7568904593639576,4.0979729396540945,1.4532759903176513
"['LabelMe', 'SUN09', 'VOC2007']",['Caltech101'],0.5,ERM+NC,0.7208480565371025,0.7208480565371025,4.132654783202381,1.4507383716401279
"['LabelMe', 'SUN09', 'VOC2007']",['Caltech101'],0.5,CORAL,0.7342756183745583,0.7342756183745583,4.113801898025885,1.4381486283595486
"['LabelMe', 'SUN09', 'VOC2007']",['Caltech101'],0.5,CORAL+NC,0.7356890459363957,0.7356890459363957,4.101393699645996,1.438311341541816
"['LabelMe', 'SUN09', 'VOC2007']",['Caltech101'],0.8,ERM,0.7505300353356891,0.7505300353356891,3.8061035763133657,1.3526705656793008
"['LabelMe', 'SUN09', 'VOC2007']",['Caltech101'],0.8,ERM+NC,0.7434628975265017,0.7434628975265017,3.8209547418536562,1.3680363692158946
"['LabelMe', 'SUN09', 'VOC2007']",['Caltech101'],0.8,CORAL,0.7286219081272085,0.7286219081272085,3.7751648751172153,1.3471219728355273
"['LabelMe', 'SUN09', 'VOC2007']",['Caltech101'],0.8,CORAL+NC,0.7385159010600707,0.7385159010600707,3.807919003746726,1.3389114461602254
"['Caltech101', 'SUN09', 'VOC2007']",['LabelMe'],0.1,ERM,0.45896084337349397,0.45896084337349397,4.722935914993286,1.57234179686351
"['Caltech101', 'SUN09', 'VOC2007']",['LabelMe'],0.1,ERM+NC,0.4070030120481928,0.4070030120481928,4.772966623306274,1.5946028634726284
"['Caltech101', 'SUN09', 'VOC2007']",['LabelMe'],0.1,CORAL,0.5011295180722891,0.5011295180722891,4.7540916204452515,1.5807647590177605
"['Caltech101', 'SUN09', 'VOC2007']",['LabelMe'],0.1,CORAL+NC,0.42620481927710846,0.42620481927710846,4.747655749320984,1.590303561773645
"['Caltech101', 'SUN09', 'VOC2007']",['LabelMe'],0.2,ERM,0.4762801204819277,0.4762801204819277,4.653885662555695,1.5572760650910527
"['Caltech101', 'SUN09', 'VOC2007']",['LabelMe'],0.2,ERM+NC,0.5609939759036144,0.5609939759036144,4.692719101905823,1.5557164657546814
"['Caltech101', 'SUN09', 'VOC2007']",['LabelMe'],0.2,CORAL,0.4582078313253012,0.4582078313253012,4.659164488315582,1.567666984466185
"['Caltech101', 'SUN09', 'VOC2007']",['LabelMe'],0.2,CORAL+NC,0.5572289156626506,0.5572289156626506,4.685345470905304,1.555822523243456
"['Caltech101', 'SUN09', 'VOC2007']",['LabelMe'],0.5,ERM,0.5229668674698795,0.5229668674698795,4.39083870974454,1.493855698999152
"['Caltech101', 'SUN09', 'VOC2007']",['LabelMe'],0.5,ERM+NC,0.6178463855421686,0.6178463855421686,4.437928980047053,1.4963105256298939
"['Caltech101', 'SUN09', 'VOC2007']",['LabelMe'],0.5,CORAL,0.6630271084337349,0.6630271084337349,4.432785922830755,1.4932776301740163
"['Caltech101', 'SUN09', 'VOC2007']",['LabelMe'],0.5,CORAL+NC,0.5873493975903614,0.5873493975903614,4.4019505977630615,1.4898605404129948
"['Caltech101', 'SUN09', 'VOC2007']",['LabelMe'],0.8,ERM,0.5613704819277109,0.5613704819277109,4.1940900938851495,1.4300572556185436
"['Caltech101', 'SUN09', 'VOC2007']",['LabelMe'],0.8,ERM+NC,0.6483433734939759,0.6483433734939759,4.180022403172084,1.4203514320304595
"['Caltech101', 'SUN09', 'VOC2007']",['LabelMe'],0.8,CORAL,0.6411897590361446,0.6411897590361446,4.192441885811942,1.423572523048125
"['Caltech101', 'SUN09', 'VOC2007']",['LabelMe'],0.8,CORAL+NC,0.6581325301204819,0.6581325301204819,4.195566695077079,1.4246961941202003
"['Caltech101', 'LabelMe', 'VOC2007']",['SUN09'],0.1,ERM,0.24680073126142596,0.24680073126142596,4.747422575950623,1.6023190626641877
"['Caltech101', 'LabelMe', 'VOC2007']",['SUN09'],0.1,ERM+NC,0.3113954905545399,0.3113954905545399,4.776042699813843,1.587809205563747
"['Caltech101', 'LabelMe', 'VOC2007']",['SUN09'],0.1,CORAL,0.40219378427787933,0.40219378427787933,4.735247731208801,1.5935256000991858
"['Caltech101', 'LabelMe', 'VOC2007']",['SUN09'],0.1,CORAL+NC,0.45429616087751373,0.45429616087751373,4.734224200248718,1.5900545627296443
"['Caltech101', 'LabelMe', 'VOC2007']",['SUN09'],0.2,ERM,0.4143814747105424,0.4143814747105424,4.66798597574234,1.580869258285513
"['Caltech101', 'LabelMe', 'VOC2007']",['SUN09'],0.2,ERM+NC,0.418951858622791,0.418951858622791,4.66123366355896,1.573119274077802
"['Caltech101', 'LabelMe', 'VOC2007']",['SUN09'],0.2,CORAL,0.46008531383302864,0.46008531383302864,4.619018316268921,1.573655719004485
"['Caltech101', 'LabelMe', 'VOC2007']",['SUN09'],0.2,CORAL+NC,0.4076782449725777,0.4076782449725777,4.694734871387482,1.5714436077185334
"['Caltech101', 'LabelMe', 'VOC2007']",['SUN09'],0.5,ERM,0.506398537477148,0.506398537477148,4.344226143576882,1.528326088665899
"['Caltech101', 'LabelMe', 'VOC2007']",['SUN09'],0.5,ERM+NC,0.4198659354052407,0.4198659354052407,4.346822261810303,1.5197191686618625
"['Caltech101', 'LabelMe', 'VOC2007']",['SUN09'],0.5,CORAL,0.45429616087751373,0.45429616087751373,4.34578386220065,1.530902541896906
"['Caltech101', 'LabelMe', 'VOC2007']",['SUN09'],0.5,CORAL+NC,0.5280316879951249,0.5280316879951249,4.363049312071367,1.5215792097310188
"['Caltech101', 'LabelMe', 'VOC2007']",['SUN09'],0.8,ERM,0.4984765386959171,0.4984765386959171,4.104715469905308,1.4865329034585621
"['Caltech101', 'LabelMe', 'VOC2007']",['SUN09'],0.8,ERM+NC,0.4631322364411944,0.4631322364411944,4.068052809579032,1.4773372376132201
"['Caltech101', 'LabelMe', 'VOC2007']",['SUN09'],0.8,CORAL,0.5210237659963437,0.5210237659963437,4.109131976536342,1.4819123833590642
"['Caltech101', 'LabelMe', 'VOC2007']",['SUN09'],0.8,CORAL+NC,0.48476538695917126,0.48476538695917126,4.117433874947684,1.4874236166731458
"['Caltech101', 'LabelMe', 'SUN09']",['VOC2007'],0.1,ERM,0.44075829383886256,0.44075829383886256,4.707170724868774,1.588346846295759
"['Caltech101', 'LabelMe', 'SUN09']",['VOC2007'],0.1,ERM+NC,0.30479857819905215,0.30479857819905215,4.7685171365737915,1.598504831440641
"['Caltech101', 'LabelMe', 'SUN09']",['VOC2007'],0.1,CORAL,0.2541469194312796,0.2541469194312796,4.756299614906311,1.6016756098417309
"['Caltech101', 'LabelMe', 'SUN09']",['VOC2007'],0.1,CORAL+NC,0.36463270142180093,0.36463270142180093,4.7802475690841675,1.5993931349984842
"['Caltech101', 'LabelMe', 'SUN09']",['VOC2007'],0.2,ERM,0.4582345971563981,0.4582345971563981,4.59941303730011,1.5720794534231248
"['Caltech101', 'LabelMe', 'SUN09']",['VOC2007'],0.2,ERM+NC,0.4819312796208531,0.4819312796208531,4.658653378486633,1.5776382905047086
"['Caltech101', 'LabelMe', 'SUN09']",['VOC2007'],0.2,CORAL,0.4629739336492891,0.4629739336492891,4.6026774644851685,1.5696170013662762
"['Caltech101', 'LabelMe', 'SUN09']",['VOC2007'],0.2,CORAL+NC,0.5133293838862559,0.5133293838862559,4.656637787818909,1.5755022679459991
"['Caltech101', 'LabelMe', 'SUN09']",['VOC2007'],0.5,ERM,0.5592417061611374,0.5592417061611374,4.3378448052839795,1.5252946050246179
